Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
11.151648998260498	0	-0.42860222	0.087410815	-0.25177664	-0.6315052	21.0	0.0	-0.020409627	-0.020409627	-0.020811953	-0.020811953	-0.6757293	0.26946375	0.06970194	0.07316361	-0.68269944	1008	1008
18.421646118164062	1	-0.40773287	0.08699573	-0.22794248	-0.6927353	21.0	0.0	-0.019415852	-0.019415852	-0.019800277	-0.019800277	-0.74040437	0.3110769	0.06777494	0.086212516	-0.7471819	1008	2016
22.525628805160522	2	-0.42767128	0.09756125	-0.18851307	-0.69338506	21.0	0.0	-0.020365296	-0.020365296	-0.020718154	-0.020718154	-0.75546443	0.32637364	0.08829264	0.103999965	-0.7642937	1008	3024
26.609564781188965	3	-0.4281057	0.082149826	-0.24247362	-0.6339278	21.0	0.0	-0.020385986	-0.020385986	-0.020859923	-0.020859923	-0.75932324	0.2862906	0.13348426	0.14291239	-0.7726716	1008	4032
29.851773977279663	4	-0.425866	0.08519527	-0.2645706	-0.6248643	21.0	0.0	-0.020279335	-0.020279335	-0.020765861	-0.020765861	-0.7449099	0.29819182	0.12265964	0.13646136	-0.7571758	1008	5040
33.890056848526	5	-0.39897117	0.06621692	-0.28865862	-0.5654644	21.0	0.0	-0.018998627	-0.018998627	-0.01957747	-0.01957747	-0.7301916	0.33153707	0.16808107	0.16602904	-0.74699974	1008	6048
38.21570897102356	6	-0.41789293	0.10200025	-0.17680687	-0.6606832	21.0	0.0	-0.019899663	-0.019899663	-0.020559918	-0.020559918	-0.7638555	0.31392607	0.19643489	0.22369148	-0.783499	1008	7056
42.34195876121521	7	-0.4074243	0.095615715	-0.19168375	-0.6435182	21.0	0.0	-0.019401157	-0.019401157	-0.020011019	-0.020011019	-0.76884806	0.3233857	0.22873235	0.25317836	-0.79172134	1008	8064
46.02439498901367	8	-0.42968595	0.11632638	-0.2541884	-0.76194733	21.0	0.0	-0.020461235	-0.020461235	-0.021182718	-0.021182718	-0.73650306	0.29970738	0.24888971	0.23298937	-0.761392	1008	9072
49.9796359539032	9	-0.44797674	0.1019512	-0.21184434	-0.7279095	21.0	0.0	-0.021332227	-0.021332227	-0.022206161	-0.022206161	-0.7645586	0.3242967	0.34599668	0.30986503	-0.7991583	1008	10080
54.51024889945984	10	-0.42726788	0.10214923	-0.27458626	-0.74974287	21.0	0.0	-0.020346088	-0.020346088	-0.021221876	-0.021221876	-0.79744005	0.37249202	0.39355898	0.39624617	-0.836796	1008	11088
57.217437982559204	11	-0.4424388	0.09677928	-0.2948786	-0.6681533	21.0	0.0	-0.021068515	-0.021068515	-0.021953575	-0.021953575	-0.744383	0.32641655	0.36234015	0.3620159	-0.780617	1008	12096
59.93139672279358	12	-0.43756795	0.102138996	-0.26963332	-0.7664312	21.0	0.0	-0.02083657	-0.02083657	-0.021861084	-0.021861084	-0.74795544	0.32276747	0.4185564	0.3638762	-0.7898111	1008	13104
