Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2880.1469559669495	58	20.136799	12.560887	52.12859	-17.705633	151.0	0.0	30049	1772891
2932.145492076874	59	22.70387	11.789228	49.361942	-14.824602	151.0	0.0	30049	1802940
2973.5718579292297	60	24.491478	11.861591	54.850784	-30.013622	151.0	0.0	30049	1832989
3023.487594127655	61	27.553907	12.104641	52.677757	-42.425426	151.0	0.0	30049	1863038
3073.5682079792023	62	29.911459	13.419442	55.854805	-21.752573	151.0	0.0	30049	1893087
3123.173660993576	63	33.351524	16.97364	69.20355	-20.148197	151.0	0.0	30049	1923136
3162.1239109039307	64	32.96137	18.463377	88.81755	-62.07664	151.0	0.0	30049	1953185
3200.0286610126495	65	31.74152	18.87622	77.559135	-53.66916	151.0	0.0	30049	1983234
3248.007040977478	66	34.19561	15.76166	75.39524	-23.667564	151.0	0.0	30049	2013283
3295.0247218608856	67	39.538704	15.179835	96.84988	-17.029207	151.0	0.0	30049	2043332
3345.88698387146	68	47.18805	13.055466	80.432396	-8.910816	151.0	0.0	30049	2073381
3395.8464980125427	69	49.723373	12.618332	86.35051	3.5413928	151.0	0.0	30049	2103430
3440.3394889831543	70	50.829365	17.909084	80.32637	-54.379784	151.0	0.0	30049	2133479
3491.3947279453278	71	51.734043	13.960498	80.48355	-10.822445	151.0	0.0	30049	2163528
3551.4224121570587	72	50.677174	13.044129	84.12696	-7.0146236	151.0	0.0	30049	2193577
3597.8267500400543	73	47.339695	10.81505	73.30812	-5.8590136	151.0	0.0	30049	2223626
3635.743488073349	74	36.662666	11.976596	69.21031	-7.7402115	151.0	0.0	30049	2253675
3676.895197868347	75	27.979134	11.643006	57.33042	-10.517147	151.0	0.0	30049	2283724
3721.242621898651	76	38.038315	10.986534	65.46811	-12.208595	151.0	0.0	30049	2313773
3788.893933057785	77	58.133904	11.977387	87.330124	16.178844	151.0	0.0	30049	2343822
3839.553451061249	78	70.459946	18.487783	113.69459	3.1318417	151.0	0.0	30049	2373871
3880.1614139080048	79	65.12401	18.499844	102.00683	-12.632772	151.0	0.0	30049	2403920
3921.04322886467	80	67.447136	17.31071	104.622894	-23.25945	151.0	0.0	30049	2433969
3980.9220521450043	81	62.763813	18.162165	111.13945	-3.4283829	151.0	0.0	30049	2464018
4027.2968440055847	82	60.610306	19.099222	94.467674	-32.70202	151.0	0.0	30049	2494067
4070.7180449962616	83	55.738674	15.633695	88.47298	-20.94189	151.0	0.0	30049	2524116
4114.310791969299	84	67.85629	14.100692	99.70183	10.596821	151.0	0.0	30049	2554165
4168.301575899124	85	70.17817	15.724255	107.62615	7.500641	151.0	0.0	30049	2584214
4214.21151804924	86	73.83706	20.064201	107.93216	-12.854662	151.0	0.0	30049	2614263
4250.000262975693	87	77.88392	18.219866	109.55606	3.770752	151.0	0.0	30049	2644312
4288.816023111343	88	86.605736	18.793201	110.33011	-28.341684	151.0	0.0	30049	2674361
4330.449079990387	89	89.13737	17.391768	115.176285	12.029965	151.0	0.0	30049	2704410
4380.790433168411	90	76.04057	14.483288	109.50149	17.777283	151.0	0.0	30049	2734459
4419.805088043213	91	69.67798	13.8311205	105.067276	14.907782	151.0	0.0	30049	2764508
4456.564359903336	92	57.023712	14.109096	91.90803	10.327231	151.0	0.0	30049	2794557
4495.137911081314	93	59.66919	13.143069	92.989944	27.051708	151.0	0.0	30049	2824606
4539.1397449970245	94	71.98441	15.182029	110.41699	16.917236	151.0	0.0	30049	2854655
4588.760547161102	95	75.54269	16.043566	113.96175	30.374199	151.0	0.0	30049	2884704
4627.260600090027	96	78.99194	16.12821	117.6045	31.428234	151.0	0.0	30049	2914753
4664.559939146042	97	92.08026	18.927904	127.23579	-40.611256	151.0	0.0	30049	2944802
4694.890117883682	98	91.69671	21.858238	133.6605	-15.185215	151.0	0.0	30049	2974851
4718.550291061401	99	98.03702	16.997646	138.88908	40.98204	151.0	0.0	30049	3004900
