Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
792.1278920173645	26	0.2763819	2.3358676	29.0	0.0	151.0	0.0	0.0018303437	0.0018303437	0.0018303618	0.0018303618	-0.7247828	0.2859662	6.939193	2.0254178	-1.4187021	30049	811323
1184.3698210716248	27	1.9045227	6.869635	50.0	0.0	151.0	0.0	0.012612732	0.012612732	0.0126127405	0.0126127405	-0.70045674	0.279781	7.170723	1.925903	-1.4175289	30049	841372
1236.5663270950317	28	3.8592966	9.584341	53.0	0.0	151.0	0.0	0.025558256	0.025558256	0.02555826	0.02555826	-0.7032869	0.2656069	6.894361	1.9911234	-1.392723	30049	871421
1264.402018070221	29	4.2060304	9.689799	45.0	0.0	151.0	0.0	0.027854504	0.027854504	0.0278545	0.0278545	-0.7275884	0.29732123	6.6380424	1.8095137	-1.3913927	30049	901470
1292.5285630226135	30	7.3417087	12.947275	53.0	0.0	151.0	0.0	0.048620585	0.048620585	0.048620578	0.048620578	-0.7277508	0.2918208	6.4624276	2.0777605	-1.3739935	30049	931519
1320.4265668392181	31	7.045226	11.839503	54.0	0.0	151.0	0.0	0.046657126	0.046657126	0.046657115	0.046657115	-0.696027	0.31025204	6.8087935	1.7956626	-1.3769064	30049	961568
1349.145840883255	32	6.477387	11.542286	44.0	0.0	151.0	0.0	0.042896602	0.042896602	0.042896587	0.042896587	-0.7485125	0.3069662	6.589254	1.8092481	-1.407438	30049	991617
1388.786113023758	33	3.085427	7.5526786	38.0	0.0	151.0	0.0	0.020433292	0.020433292	0.0204333	0.0204333	-0.7157352	0.2792998	6.729639	1.7768602	-1.388699	30049	1021666
1419.4978530406952	34	2.6683416	7.7828927	40.0	0.0	151.0	0.0	0.017671138	0.017671138	0.017671142	0.017671142	-0.68420494	0.3298793	6.8135233	1.9869057	-1.3655572	30049	1051715
1449.4537138938904	35	1.638191	6.0175414	41.0	0.0	151.0	0.0	0.010848947	0.010848947	0.010848955	0.010848955	-0.67957187	0.26810881	6.617126	1.8721393	-1.3412845	30049	1081764
1487.6449301242828	36	0.23115578	2.1540737	22.0	0.0	151.0	0.0	0.001530833	0.001530833	0.0015308365	0.0015308365	-0.75532436	0.28393358	6.6065884	2.2552433	-1.4159832	30049	1111813
1531.6413650512695	37	0.13065326	1.3902076	18.0	0.0	151.0	0.0	0.00086525345	0.00086525345	0.000865257	0.000865257	-0.72788167	0.31904784	7.3102474	2.2357428	-1.4589064	30049	1141862
1558.8728499412537	38	0.040201005	0.56567836	8.0	0.0	151.0	0.0	0.00026623183	0.00026623183	0.00026624592	0.00026624592	-0.79589576	0.3067265	6.786397	2.235091	-1.4745355	30049	1171911
1587.1183230876923	39	0.47738692	3.956831	48.0	0.0	151.0	0.0	0.0031615028	0.0031615028	0.0031615135	0.0031615135	-0.70813817	0.30886886	6.7110696	2.1992087	-1.3792452	30049	1201960
1614.155254125595	40	0.3316583	3.1560028	37.0	0.0	151.0	0.0	0.0021964125	0.0021964125	0.0021964246	0.0021964246	-0.74739295	0.3226134	6.7224035	2.3157372	-1.4196332	30049	1232009
1641.607274055481	41	0.30653265	2.2864046	21.0	0.0	151.0	0.0	0.0020300176	0.0020300176	0.002030033	0.002030033	-0.71965456	0.2760834	7.3032045	2.2165558	-1.449975	30049	1262058
1668.9862339496613	42	1.2763819	7.887971	65.0	0.0	151.0	0.0	0.008452861	0.008452861	0.008452898	0.008452898	-0.65944993	0.31751174	7.439495	2.093955	-1.4033995	30049	1292107
1696.151839017868	43	1.5376885	8.526479	60.0	0.0	151.0	0.0	0.010183367	0.010183367	0.010183397	0.010183397	-0.7219199	0.31058633	7.591663	2.0290189	-1.4810863	30049	1322156
1723.043671131134	44	1.4371859	8.307218	69.0	0.0	151.0	0.0	0.009517788	0.009517788	0.009517812	0.009517812	-0.742066	0.34488702	7.067645	2.4448662	-1.4488306	30049	1352205
1750.2398610115051	45	0.40703517	2.7546487	23.0	0.0	151.0	0.0	0.0026955972	0.0026955972	0.0026956112	0.0026956112	-0.7238368	0.30756286	7.146395	2.057628	-1.4384763	30049	1382254
1777.952435016632	46	1.0904523	5.5665784	43.0	0.0	151.0	0.0	0.007221538	0.007221538	0.007221549	0.007221549	-0.69306326	0.29793787	6.9432797	2.110748	-1.3873913	30049	1412303
1805.0486619472504	47	1.3567839	5.4494786	42.0	0.0	151.0	0.0	0.008985324	0.008985324	0.008985324	0.008985324	-0.7681012	0.3153971	7.234429	2.084427	-1.4915441	30049	1442352
1832.3069870471954	48	2.3115578	6.9725533	47.0	0.0	151.0	0.0	0.01530833	0.01530833	0.015308328	0.015308328	-0.6829795	0.28834176	7.011834	2.274553	-1.384163	30049	1472401
1859.2473900318146	49	5.839196	12.081975	58.0	0.0	151.0	0.0	0.03867017	0.03867017	0.038670167	0.038670167	-0.7609695	0.28219655	7.055173	2.0661266	-1.4664868	30049	1502450
1885.9661598205566	50	4.120603	10.291507	48.0	0.0	151.0	0.0	0.027288761	0.027288761	0.02728875	0.02728875	-0.7370615	0.3529869	7.1931906	2.3172996	-1.4563806	30049	1532499
1912.8687198162079	51	6.035176	12.192088	55.0	0.0	151.0	0.0	0.03996805	0.03996805	0.03996804	0.03996804	-0.74249923	0.31193098	6.997054	2.1556737	-1.4422047	30049	1562548
1942.3845341205597	52	4.844221	11.651595	53.0	0.0	151.0	0.0	0.032080933	0.032080933	0.03208092	0.03208092	-0.73416674	0.3097431	7.002896	1.8282391	-1.4344563	30049	1592597
1969.5573561191559	53	7.075377	13.646997	62.0	0.0	151.0	0.0	0.046856802	0.046856802	0.04685678	0.04685678	-0.71749395	0.30694407	7.4051914	2.0131898	-1.458013	30049	1622646
1996.8254861831665	54	9.798995	16.142885	66.0	0.0	151.0	0.0	0.064894006	0.064894006	0.06489398	0.06489398	-0.7930866	0.29782066	6.975438	2.2295406	-1.4906304	30049	1652695
2023.9118790626526	55	10.180904	17.409563	71.0	0.0	151.0	0.0	0.06742321	0.06742321	0.06742318	0.06742318	-0.7673414	0.34145132	6.6764545	2.1929262	-1.4349868	30049	1682744
2051.11190700531	56	10.386934	17.039003	69.0	0.0	151.0	0.0	0.06878765	0.06878765	0.06878762	0.06878762	-0.76108295	0.3438152	7.062392	2.0005758	-1.4673221	30049	1712793
2084.088440179825	57	14.698492	19.638174	71.0	0.0	151.0	0.0	0.09734101	0.09734101	0.09734097	0.09734097	-0.7412239	0.28032902	6.9796376	1.7853974	-1.4391875	30049	1742842
2113.1408689022064	58	17.025126	21.31351	76.0	0.0	151.0	0.0	0.112749174	0.112749174	0.11274914	0.11274914	-0.7055014	0.30883524	6.8790436	2.046105	-1.3934057	30049	1772891
2141.2055077552795	59	13.477386	18.894796	69.0	0.0	151.0	0.0	0.089254215	0.089254215	0.08925418	0.08925418	-0.74734306	0.32664144	6.9328394	2.0038106	-1.4406269	30049	1802940
2169.111958026886	60	9.19598	16.424238	61.0	0.0	151.0	0.0	0.060900528	0.060900528	0.06090048	0.06090048	-0.7407412	0.31534946	7.3681226	2.0576723	-1.4775535	30049	1832989
2196.917083978653	61	5.753769	12.393655	61.0	0.0	151.0	0.0	0.03810443	0.03810443	0.03810438	0.03810438	-0.7463399	0.31681335	7.045562	2.1059506	-1.4508961	30049	1863038
2224.598489999771	62	9.070352	16.475506	59.0	0.0	151.0	0.0	0.060068555	0.060068555	0.0600685	0.0600685	-0.74747705	0.30862382	6.7137027	2.1355393	-1.4188474	30049	1893087
2252.4579010009766	63	4.798995	11.585809	51.0	0.0	151.0	0.0	0.031781424	0.031781424	0.03178137	0.03178137	-0.7848919	0.33162612	7.035684	2.1241062	-1.4884603	30049	1923136
2280.603136062622	64	5.9346733	13.285455	60.0	0.0	151.0	0.0	0.039302472	0.039302472	0.039302412	0.039302412	-0.74549127	0.30208313	6.9643936	1.6687058	-1.4419307	30049	1953185
2308.457010984421	65	5.969849	12.862204	59.0	0.0	151.0	0.0	0.039535426	0.039535426	0.039535366	0.039535366	-0.7447999	0.3426408	7.080353	1.8004354	-1.4528351	30049	1983234
2336.5075788497925	66	7.6180906	15.19405	57.0	0.0	151.0	0.0	0.05045093	0.05045093	0.05045086	0.05045086	-0.7772875	0.32172856	6.903084	2.0322888	-1.4675958	30049	2013283
2364.638913154602	67	5.7788944	13.759287	61.0	0.0	151.0	0.0	0.038270824	0.038270824	0.038270768	0.038270768	-0.7919135	0.35579884	6.952161	2.1731365	-1.4871297	30049	2043332
2399.257146835327	68	5.2964826	13.321971	62.0	0.0	151.0	0.0	0.03507604	0.03507604	0.035075985	0.035075985	-0.73607147	0.3146347	6.7267194	2.1598265	-1.4087434	30049	2073381
2427.4434518814087	69	6.045226	14.069924	70.0	0.0	151.0	0.0	0.04003461	0.04003461	0.040034555	0.040034555	-0.77920985	0.33210394	6.6320305	1.6560206	-1.4424129	30049	2103430
2455.5274918079376	70	6.522613	16.217995	76.0	0.0	151.0	0.0	0.043196112	0.043196112	0.043196052	0.043196052	-0.7705117	0.33729687	6.665285	2.0365973	-1.4370401	30049	2133479
2483.7539989948273	71	4.5025125	12.246165	68.0	0.0	151.0	0.0	0.029817965	0.029817965	0.029817905	0.029817905	-0.7679072	0.33454555	7.101286	2.171177	-1.4780358	30049	2163528
2512.6239540576935	72	7.326633	14.682873	61.0	0.0	151.0	0.0	0.04852075	0.04852075	0.048520688	0.048520688	-0.7415558	0.3440539	7.1576614	1.9758506	-1.4573219	30049	2193577
2540.0054140090942	73	6.2060304	13.746913	68.0	0.0	151.0	0.0	0.041099537	0.041099537	0.041099474	0.041099474	-0.7695266	0.38131428	6.8847766	1.780264	-1.4580042	30049	2223626
2569.4276130199432	74	5.924623	14.321484	70.0	0.0	151.0	0.0	0.039235916	0.039235916	0.039235856	0.039235856	-0.72350496	0.30305055	6.8031797	1.6209551	-1.403823	30049	2253675
2597.727838039398	75	5.8190956	12.862919	60.0	0.0	151.0	0.0	0.038537055	0.038537055	0.038536996	0.038536996	-0.7405056	0.34964556	6.6244183	1.8865579	-1.4029474	30049	2283724
2626.022327184677	76	7.4070354	15.7706585	67.0	0.0	151.0	0.0	0.049053214	0.049053214	0.04905316	0.04905316	-0.7006764	0.28278357	6.8207283	1.8060365	-1.3827491	30049	2313773
2653.770184993744	77	8.56784	16.977789	69.0	0.0	151.0	0.0	0.056740656	0.056740656	0.0567406	0.0567406	-0.72501856	0.3108577	6.6307945	1.9879287	-1.388098	30049	2343822
2682.2173120975494	78	7.8944726	16.092506	71.0	0.0	151.0	0.0	0.052281275	0.052281275	0.052281216	0.052281216	-0.70441246	0.31803048	6.6968765	1.8343483	-1.3741002	30049	2373871
2710.6621408462524	79	16.055277	23.020027	83.0	0.0	151.0	0.0	0.106326334	0.106326334	0.106326275	0.106326275	-0.7333849	0.3402292	6.766223	1.943639	-1.4100072	30049	2403920
2739.2066650390625	80	19.603016	23.622412	73.0	0.0	151.0	0.0	0.12982129	0.12982129	0.12982123	0.12982123	-0.71960706	0.32517117	6.9068537	2.077479	-1.4102924	30049	2433969
2767.3224577903748	81	23.251257	26.043203	90.0	0.0	151.0	0.0	0.15398183	0.15398183	0.15398176	0.15398176	-0.7572553	0.33412883	6.7752194	1.860167	-1.4347774	30049	2464018
2795.2520818710327	82	25.874372	25.36704	83.0	0.0	151.0	0.0	0.17135346	0.17135346	0.17135337	0.17135337	-0.75875485	0.3282837	6.4593797	1.7081743	-1.4046929	30049	2494067
2823.3376100063324	83	26.467337	25.200256	88.0	0.0	151.0	0.0	0.17528038	0.17528038	0.17528032	0.17528032	-0.6821828	0.29097515	6.384288	1.5976665	-1.3206116	30049	2524116
2851.70827293396	84	19.180904	24.977728	81.0	0.0	151.0	0.0	0.12702586	0.12702586	0.12702581	0.12702581	-0.76949227	0.33229464	6.515752	1.7418883	-1.4210675	30049	2554165
2880.8769319057465	85	9.231155	19.11186	86.0	0.0	151.0	0.0	0.06113348	0.06113348	0.06113345	0.06113345	-0.74679375	0.34496477	6.5353537	1.7767705	-1.4003291	30049	2584214
2924.9625720977783	86	6.165829	17.23668	88.0	0.0	151.0	0.0	0.040833306	0.040833306	0.040833294	0.040833294	-0.6927983	0.28178006	6.6121716	1.550309	-1.3540155	30049	2614263
2954.1025760173798	87	4.6834173	13.904745	62.0	0.0	151.0	0.0	0.031016007	0.031016007	0.031016	0.031016	-0.7689941	0.32697448	6.6166525	1.6159481	-1.4306594	30049	2644312
2982.590406894684	88	4.59799	15.02491	73.0	0.0	151.0	0.0	0.030450264	0.030450264	0.030450268	0.030450268	-0.7322972	0.3215362	6.3650007	1.8181459	-1.3687973	30049	2674361
3011.0726940631866	89	5.8844223	16.349257	80.0	0.0	151.0	0.0	0.038969684	0.038969684	0.038969684	0.038969684	-0.7269602	0.3188933	7.3172197	1.4065344	-1.4586822	30049	2704410
3039.3023200035095	90	6.40201	17.613358	73.0	0.0	151.0	0.0	0.042397417	0.042397417	0.042397417	0.042397417	-0.71906614	0.3319926	7.0819697	1.8436533	-1.4272633	30049	2734459
3067.1868081092834	91	6.924623	18.696177	87.0	0.0	151.0	0.0	0.04585843	0.04585843	0.04585844	0.04585844	-0.6789188	0.30583367	7.1135626	1.805875	-1.390275	30049	2764508
3095.189744949341	92	3.8542714	13.747686	78.0	0.0	151.0	0.0	0.025524976	0.025524976	0.025524992	0.025524992	-0.6994175	0.29849583	7.059126	1.6293426	-1.4053301	30049	2794557
3123.3106088638306	93	1.3567839	7.2040143	58.0	0.0	151.0	0.0	0.008985324	0.008985324	0.008985355	0.008985355	-0.71109086	0.30855733	7.119816	1.7614276	-1.4230723	30049	2824606
3151.413412809372	94	1.7437186	9.437426	67.0	0.0	151.0	0.0	0.011547805	0.011547805	0.011547841	0.011547841	-0.71473	0.33075377	6.7078323	1.7328509	-1.3855133	30049	2854655
3179.6834938526154	95	0.60301507	4.8730817	54.0	0.0	151.0	0.0	0.003993477	0.003993477	0.0039935205	0.0039935205	-0.7210994	0.3286115	6.8909135	1.7540148	-1.4101907	30049	2884704
3207.5744037628174	96	1.8944724	10.276769	72.0	0.0	151.0	0.0	0.012546174	0.012546174	0.012546224	0.012546224	-0.7160156	0.30992872	6.900194	1.6007763	-1.4060352	30049	2914753
3235.595612049103	97	2.2562814	10.64076	80.0	0.0	151.0	0.0	0.014942261	0.014942261	0.014942308	0.014942308	-0.7641846	0.36962152	6.9247336	1.5890129	-1.4566579	30049	2944802
3263.434894800186	98	1.2110553	6.6238246	54.0	0.0	151.0	0.0	0.008020233	0.008020233	0.008020277	0.008020277	-0.69868654	0.33808592	7.0292387	1.6839043	-1.4016104	30049	2974851
3291.400078058243	99	2.2512562	10.000864	58.0	0.0	151.0	0.0	0.014908982	0.014908982	0.014909024	0.014909024	-0.7443303	0.3304422	6.543688	1.7662637	-1.398699	30049	3004900
