Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
48.79983115196228	36	68.91672	20.413721	98.80951	-0.7115474	21.0	0.0	3.2817485	3.2817485	3.2817485	3.2817485	1008	37296
49.86663293838501	37	71.15896	22.996689	118.71153	-0.8717707	21.0	0.0	3.3885217	3.3885217	3.3885217	3.3885217	1008	38304
50.83129119873047	38	73.44407	22.51963	118.60872	9.132591	21.0	0.0	3.4973366	3.4973366	3.4973366	3.4973366	1008	39312
51.75382113456726	39	74.52079	20.28657	108.754326	38.92067	21.0	0.0	3.5486093	3.5486093	3.5486093	3.5486093	1008	40320
52.8137412071228	40	77.58445	20.541378	118.44841	29.199492	21.0	0.0	3.6944978	3.6944978	3.6944978	3.6944978	1008	41328
53.67648720741272	41	73.39012	20.355465	108.54499	-0.9393568	21.0	0.0	3.494768	3.494768	3.494768	3.494768	1008	42336
54.64117193222046	42	72.173035	25.370428	118.6271	-0.8766949	21.0	0.0	3.4368112	3.4368112	3.4368112	3.4368112	1008	43344
55.56310510635376	43	76.50141	23.7647	108.788216	-0.93498147	21.0	0.0	3.6429243	3.6429243	3.6429243	3.6429243	1008	44352
56.50684905052185	44	81.07157	20.224533	118.6167	38.819824	21.0	0.0	3.860551	3.860551	3.860551	3.860551	1008	45360
57.485356092453	45	75.66687	22.308952	118.548454	28.855236	21.0	0.0	3.6031842	3.6031842	3.6031842	3.6031842	1008	46368
58.40617322921753	46	85.409874	18.405811	118.69961	8.999506	21.0	0.0	4.067137	4.067137	4.067137	4.067137	1008	47376
59.28370404243469	47	83.296104	23.135777	118.569984	29.088562	21.0	0.0	3.9664812	3.9664812	3.9664812	3.9664812	1008	48384
60.18035817146301	48	82.03488	19.890997	118.283775	39.07082	21.0	0.0	3.9064229	3.9064229	3.9064229	3.9064229	1008	49392
61.12188124656677	49	90.9784	13.17029	118.48467	58.74009	21.0	0.0	4.3323045	4.3323045	4.3323045	4.3323045	1008	50400
62.05135107040405	50	79.37442	22.81511	118.58194	18.87302	21.0	0.0	3.7797344	3.7797344	3.7797344	3.7797344	1008	51408
62.949379205703735	51	83.44874	24.40343	128.45967	-0.8147007	21.0	0.0	3.9737499	3.9737499	3.9737499	3.9737499	1008	52416
63.93722701072693	52	80.161415	23.685886	118.775276	29.117935	21.0	0.0	3.8172102	3.8172102	3.8172102	3.8172102	1008	53424
64.93092823028564	53	87.0018	17.577639	118.48189	48.60804	21.0	0.0	4.142943	4.142943	4.142943	4.142943	1008	54432
65.83784508705139	54	83.41845	19.340801	118.36766	18.902569	21.0	0.0	3.972307	3.972307	3.972307	3.972307	1008	55440
66.79568004608154	55	82.46292	21.337963	118.607956	28.978634	21.0	0.0	3.9268055	3.9268055	3.9268055	3.9268055	1008	56448
67.76874899864197	56	85.328316	20.326675	118.29314	28.944845	21.0	0.0	4.063253	4.063253	4.063253	4.063253	1008	57456
68.68452095985413	57	89.507935	19.617126	118.72212	38.89099	21.0	0.0	4.2622824	4.2622824	4.2622824	4.2622824	1008	58464
69.654550075531	58	88.20941	19.261263	118.59004	38.778942	21.0	0.0	4.2004476	4.2004476	4.2004476	4.2004476	1008	59472
70.56176209449768	59	88.19286	21.945076	128.53014	28.818752	21.0	0.0	4.1996593	4.1996593	4.1996593	4.1996593	1008	60480
71.59429907798767	60	92.363625	19.749992	128.54343	29.0733	21.0	0.0	4.3982677	4.3982677	4.3982677	4.3982677	1008	61488
72.53838896751404	61	89.461266	19.00369	128.2783	48.800175	21.0	0.0	4.2600603	4.2600603	4.2600603	4.2600603	1008	62496
73.54723811149597	62	91.13102	19.395641	118.56497	9.031813	21.0	0.0	4.339573	4.339573	4.339573	4.339573	1008	63504
74.52175116539001	63	95.21238	18.031717	138.24672	58.90717	21.0	0.0	4.533923	4.533923	4.533923	4.533923	1008	64512
75.76312804222107	64	88.99995	21.959095	118.6804	28.8374	21.0	0.0	4.238093	4.238093	4.238093	4.238093	1008	65520
76.72580409049988	65	89.66514	16.251451	118.21672	48.90582	21.0	0.0	4.2697687	4.2697687	4.2697687	4.2697687	1008	66528
77.66574907302856	66	90.8941	22.116991	118.52175	28.702988	21.0	0.0	4.32829	4.32829	4.32829	4.32829	1008	67536
78.64002013206482	67	92.13349	18.760845	118.66706	38.67761	21.0	0.0	4.387309	4.387309	4.387309	4.387309	1008	68544
79.62906432151794	68	96.85315	17.228313	128.3603	58.80732	21.0	0.0	4.612055	4.612055	4.612055	4.612055	1008	69552
80.57343006134033	69	91.854	19.880564	118.57725	18.777727	21.0	0.0	4.3739996	4.3739996	4.3739996	4.3739996	1008	70560
81.65741515159607	70	95.19955	18.229456	128.27704	39.19105	21.0	0.0	4.533312	4.533312	4.533312	4.533312	1008	71568
82.70030736923218	71	94.51171	20.787476	128.52501	19.06433	21.0	0.0	4.5005574	4.5005574	4.5005574	4.5005574	1008	72576
83.66944217681885	72	91.01029	14.946655	118.20919	58.569687	21.0	0.0	4.3338237	4.3338237	4.3338237	4.3338237	1008	73584
84.62983012199402	73	94.919716	18.352758	128.10149	58.67549	21.0	0.0	4.5199866	4.5199866	4.5199866	4.5199866	1008	74592
85.65086221694946	74	97.83016	17.340414	137.98839	68.49679	21.0	0.0	4.658579	4.658579	4.658579	4.658579	1008	75600
86.64327025413513	75	97.03623	15.751148	138.05534	59.016525	21.0	0.0	4.620773	4.620773	4.620773	4.620773	1008	76608
87.64384913444519	76	96.420235	13.611012	128.31519	68.5151	21.0	0.0	4.5914397	4.5914397	4.5914397	4.5914397	1008	77616
88.61563920974731	77	94.07528	14.263662	128.35686	59.06577	21.0	0.0	4.4797754	4.4797754	4.4797754	4.4797754	1008	78624
89.6691472530365	78	93.951935	18.027596	128.42476	38.990715	21.0	0.0	4.473902	4.473902	4.473902	4.473902	1008	79632
90.7804160118103	79	94.96043	13.805439	118.41827	58.753384	21.0	0.0	4.521925	4.521925	4.521925	4.521925	1008	80640
91.76458215713501	80	91.80247	16.03525	128.2044	48.401093	21.0	0.0	4.3715467	4.3715467	4.3715467	4.3715467	1008	81648
92.87417316436768	81	95.988594	17.235462	128.37225	68.356384	21.0	0.0	4.570885	4.570885	4.570885	4.570885	1008	82656
93.8712739944458	82	98.05349	16.304829	128.3059	58.670193	21.0	0.0	4.669214	4.669214	4.669214	4.669214	1008	83664
94.96431994438171	83	94.68314	16.41876	118.50224	58.49004	21.0	0.0	4.508722	4.508722	4.508722	4.508722	1008	84672
95.97735500335693	84	94.69657	16.78321	118.60495	58.454025	21.0	0.0	4.5093613	4.5093613	4.5093613	4.5093613	1008	85680
96.93242311477661	85	95.81484	16.341719	128.57709	58.42106	21.0	0.0	4.5626116	4.5626116	4.5626116	4.5626116	1008	86688
97.87054324150085	86	99.897575	15.803762	128.25502	48.975822	21.0	0.0	4.7570276	4.7570276	4.7570276	4.7570276	1008	87696
98.94926714897156	87	100.31791	16.795519	128.39447	38.962727	21.0	0.0	4.7770424	4.7770424	4.7770424	4.7770424	1008	88704
99.95635914802551	88	99.72262	14.925117	128.41945	68.94415	21.0	0.0	4.7486963	4.7486963	4.7486963	4.7486963	1008	89712
100.97600626945496	89	98.873375	15.428704	118.6102	58.33871	21.0	0.0	4.7082562	4.7082562	4.7082562	4.7082562	1008	90720
101.88716530799866	90	100.89304	13.532871	138.0273	68.69634	21.0	0.0	4.804431	4.804431	4.804431	4.804431	1008	91728
102.90138220787048	91	100.28263	15.488952	128.09096	58.776512	21.0	0.0	4.7753634	4.7753634	4.7753634	4.7753634	1008	92736
103.86935114860535	92	101.10934	11.924305	118.60614	68.71244	21.0	0.0	4.8147297	4.8147297	4.8147297	4.8147297	1008	93744
104.82612299919128	93	97.79142	16.623104	128.41176	48.81367	21.0	0.0	4.6567345	4.6567345	4.6567345	4.6567345	1008	94752
105.7925660610199	94	99.83752	14.572777	138.06523	68.48876	21.0	0.0	4.754167	4.754167	4.754167	4.754167	1008	95760
106.81940722465515	95	99.61173	14.256764	128.31819	59.086685	21.0	0.0	4.743416	4.743416	4.743416	4.743416	1008	96768
107.79332304000854	96	100.22996	19.361948	128.15804	29.000298	21.0	0.0	4.7728553	4.7728553	4.7728553	4.7728553	1008	97776
108.70713806152344	97	103.776344	15.630854	137.83429	68.72186	21.0	0.0	4.941731	4.941731	4.941731	4.941731	1008	98784
109.74997806549072	98	100.90454	13.753009	128.25903	58.82218	21.0	0.0	4.8049784	4.8049784	4.8049784	4.8049784	1008	99792
110.60152125358582	99	104.834496	15.328385	137.66019	68.58533	21.0	0.0	4.9921193	4.9921193	4.9921193	4.9921193	1008	100800
